Entry,SMILES,Clearing Temperature,Label,canonical_smiles
1,CCC(C)CC1=CC=C(C=C1)C2=CC=C(C=C2)C#N,-30,rod-like,CCC(C)Cc1ccc(-c2ccc(C#N)cc2)cc1
35,CCC1=CC=C(C=C1)C(=O)OC2=CC(=C(C=C2)C#N)F,8,rod-like,CCc1ccc(C(=O)Oc2ccc(C#N)c(F)c2)cc1
53,CCCCC1=CC=C(C=C1)C2=CC=C(C=C2)C#N,16.5,rod-like,CCCCc1ccc(-c2ccc(C#N)cc2)cc1
37,CCCC1=CC=C(C=C1)C(=O)OC2=CC(=C(C=C2)C#N)F,20,rod-like,CCCc1ccc(C(=O)Oc2ccc(C#N)c(F)c2)cc1
55,CCCCCCC1=CC=C(C=C1)C2=CC=C(C=C2)C#N,29,rod-like,CCCCCCc1ccc(-c2ccc(C#N)cc2)cc1
52,CCCC1=CC=C(C=C1)C2=CC=C(C=C2)C#N,30.3,rod-like,CCCc1ccc(-c2ccc(C#N)cc2)cc1
143,O=C(CCC/C=C\CC)OC(C=C1)=CC=C1C2=NC=C(CCCCCCC)C=N2,31,rod-like,CC/C=C\CCCC(=O)Oc1ccc(-c2ncc(CCCCCCC)cn2)cc1
141,O=C(C/C=C\CCCC)OC(C=C1)=CC=C1C2=NC=C(CCCCCCC)C=N2,31,rod-like,CCCC/C=C\CC(=O)Oc1ccc(-c2ncc(CCCCCCC)cn2)cc1
419,O=C(C1=CC=C(/N=N/C2=CC=C(OCCCCCCCCCCCCCC)C(C)=C2)C=C1)OC3=CC(OC(C4=CC=C(/N=N/C5=CC(C)=C(OCCCCCCCCCCCCCC)C=C5)C=C4)=O)=CC=C3C,33,bend-core,CCCCCCCCCCCCCCOc1ccc(/N=N/c2ccc(C(=O)Oc3ccc(C)c(OC(=O)c4ccc(/N=N/c5ccc(OCCCCCCCCCCCCCC)c(C)c5)cc4)c3)cc2)cc1C
150,O=C(CCC/C=C\CC)OC(C=C1)=CC=C1C2=NC=C(CCCCCCCC)C=N2,34,rod-like,CC/C=C\CCCC(=O)Oc1ccc(-c2ncc(CCCCCCCC)cn2)cc1
54,CCCCCC1=CC=C(C=C1)C2=CC=C(C=C2)C#N,35.5,rod-like,CCCCCc1ccc(-c2ccc(C#N)cc2)cc1
6,CCCCC1COC(OC1)C2=CC=C(C=C2)C#N,36,rod-like,CCCCC1COC(c2ccc(C#N)cc2)OC1
90,CCCCC1=CC=C(C=C1)C#CC2=CC=C(C=C2)OC,40.2,rod-like,CCCCc1ccc(C#Cc2ccc(OC)cc2)cc1
