Entry,SMILES,Label,Melting Temperature,canonical_smiles
1,CCC(C)CC1=CC=C(C=C1)C2=CC=C(C=C2)C#N,rod-like,-54,CCC(C)Cc1ccc(-c2ccc(C#N)cc2)cc1
2,CCCCC1=CC=C(C=C1)N=CC2=CC=C(C=C2)OC,rod-like,22,CCCCc1ccc(N=Cc2ccc(OC)cc2)cc1
3,CCCCC1=CC=C(C=C1)N=CC2=CC=C(C=C2)OCC,rod-like,36.5,CCCCc1ccc(N=Cc2ccc(OCC)cc2)cc1
4,CCCCC1=CC=C(C=C1)N=CC2=CC=C(C=C2)C=NC3=CC=C(C=C3)CCCC,rod-like,113,CCCCc1ccc(N=Cc2ccc(C=Nc3ccc(CCCC)cc3)cc2)cc1
5,CCCC1COC(OC1)C2=CC=C(C=C2)C#N,rod-like,58,CCCC1COC(c2ccc(C#N)cc2)OC1
6,CCCCC1COC(OC1)C2=CC=C(C=C2)C#N,rod-like,42,CCCCC1COC(c2ccc(C#N)cc2)OC1
11,CCCCCC1CCC(CC1)C2COC(OC2)C3=CC=C(C=C3)F,rod-like,65,CCCCCC1CCC(C2COC(c3ccc(F)cc3)OC2)CC1
13,CCCCCC1CCC(CC1)C2COC(OC2)C3=CC(=C(C=C3)F)F,rod-like,77,CCCCCC1CCC(C2COC(c3ccc(F)c(F)c3)OC2)CC1
14,CCCC1CCC(CC1)C2=CC=C(C=C2)C3=NC=C(C=N3)CC,rod-like,102,CCCC1CCC(c2ccc(-c3ncc(CC)cn3)cc2)CC1
16,CCCCCCCCOC1=CC=C(C=C1)C2=NC=C(C=N2)OCCCC,rod-like,57,CCCCCCCCOc1ccc(-c2ncc(OCCCC)cn2)cc1
18,CCCCCCCCC1=CN=C(N=C1)C2=CC=C(C=C2)OCCCCCC,rod-like,27.5,CCCCCCCCc1cnc(-c2ccc(OCCCCCC)cc2)nc1
19,CCCCCCC1=CN=C(C2=CC=C(OCCCCCCCC)C=C2)N=C1,rod-like,51,CCCCCCCCOc1ccc(-c2ncc(CCCCCC)cn2)cc1
20,CCCCCCCCOC1=CC=C(C=C1)C2=NC=C(C=N2)CCCCCCC,rod-like,49,CCCCCCCCOc1ccc(-c2ncc(CCCCCCC)cn2)cc1
22,CCCCCCCCC1=CN=C(N=C1)C2=CC=C(C=C2)OC(=O)CCCCCC,rod-like,43,CCCCCCCCc1cnc(-c2ccc(OC(=O)CCCCCC)cc2)nc1
23,CCCCCCCCC1=CN=C(N=C1)C2=CC=C(C=C2)OCCCCCCCC,rod-like,28.5,CCCCCCCCOc1ccc(-c2ncc(CCCCCCCC)cn2)cc1
24,CCCCCCCCCC1=CN=C(N=C1)C2=CC=C(C=C2)OCCCCCCC,rod-like,45.5,CCCCCCCCCc1cnc(-c2ccc(OCCCCCCC)cc2)nc1
25,CCCCCCCCOC1=CC=C(C=C1)C2=NC=C(C=N2)OCCCCCCCC,rod-like,51,CCCCCCCCOc1ccc(-c2ncc(OCCCCCCCC)cn2)cc1
26,CCCCCCOC(C=C1)=CC=C1C(N=C2)=NC=C2C3=CC=C(CCCCCC)C=C3,rod-like,75,CCCCCCOc1ccc(-c2ncc(-c3ccc(CCCCCC)cc3)cn2)cc1
27,CCCCCCCCCCOC1=CC=C(C=C1)C2=NC=C(C=N2)CCCCCCCC,rod-like,32,CCCCCCCCCCOc1ccc(-c2ncc(CCCCCCCC)cn2)cc1
29,CCCCCCCCCC(=O)OC1=CC=C(C=C1)C2=NC=C(C=N2)CCCCCCCC,rod-like,42,CCCCCCCCCC(=O)Oc1ccc(-c2ncc(CCCCCCCC)cn2)cc1
30,CCCCCCCCC1=CN=C(N=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)CCCCCCC,rod-like,58,CCCCCCCCc1cnc(-c2ccc(-c3ccc(CCCCCCC)cc3)cc2)nc1
31,CCCCCCCCCCC1=CN=C(N=C1)C2=CC=C(C=C2)OC(=O)CCCCCCCC,rod-like,44,CCCCCCCCCCc1cnc(-c2ccc(OC(=O)CCCCCCCC)cc2)nc1
33,CCCCCCCCOC(C=C1)=CC=C1C(N=C2)=NC=C2C3=CC=C(CCCCCCCC)C=C3,rod-like,68,CCCCCCCCOc1ccc(-c2ncc(-c3ccc(CCCCCCCC)cc3)cn2)cc1
34,CCCC1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)C#N,rod-like,102,CCCc1ccc(C(=O)Oc2ccc(C#N)cc2)cc1
35,CCC1=CC=C(C=C1)C(=O)OC2=CC(=C(C=C2)C#N)F,rod-like,78,CCc1ccc(C(=O)Oc2ccc(C#N)c(F)c2)cc1
36,CCCCC1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)C#N,rod-like,67.1,CCCCc1ccc(C(=O)Oc2ccc(C#N)cc2)cc1
37,CCCC1=CC=C(C=C1)C(=O)OC2=CC(=C(C=C2)C#N)F,rod-like,70,CCCc1ccc(C(=O)Oc2ccc(C#N)c(F)c2)cc1
38,CCCCCC1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)C#N,rod-like,64.4,CCCCCc1ccc(C(=O)Oc2ccc(C#N)cc2)cc1
39,CCCCCC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)OC,rod-like,34,CCCCCc1ccc(OC(=O)c2ccc(OC)cc2)cc1
41,CCCCCCCC1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)C#N,rod-like,44,CCCCCCCc1ccc(C(=O)Oc2ccc(C#N)cc2)cc1
42,CCCCCCOC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)OC,rod-like,56,CCCCCCOc1ccc(OC(=O)c2ccc(OC)cc2)cc1
43,CCCCCCCCC1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)C#N,rod-like,47,CCCCCCCCc1ccc(C(=O)Oc2ccc(C#N)cc2)cc1
